Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell membrane	81	14.185639229422067	1.2518654328973052E-5	56098, 4308, 10893, 57534, 22933, 10397, 54510, 5536, 288, 54769, 747, 2899, 2195, 2678, 9101, 56105, 8642, 57282, 84079, 400745, 8396, 1138, 4651, 1139, 55915, 145567, 1136, 5361, 9293, 5924, 55361, 22983, 8394, 5359, 8727, 11188, 9743, 23263, 5218, 4163, 123879, 80727, 55761, 91010, 1889, 5144, 64072, 2319, 29979, 56121, 1128, 27253, 4641, 1499, 58513, 80333, 3416, 4326, 30845, 9429, 2040, 9378, 338567, 91608, 26503, 1464, 124930, 324, 9732, 55576, 23499, 8001, 91584, 201232, 28231, 23284, 1636, 56111, 7094, 10787, 1837	459	270	2353	1.5379084967320262	0.004160060858635739	0.004160060858635739	0.01699338362914915
UP_KEYWORDS	Calcium	38	6.654991243432574	5.9605794923035345E-5	781, 56098, 8720, 64072, 10893, 8618, 1954, 1047, 56121, 54510, 6262, 27253, 6709, 84455, 747, 2195, 8642, 56105, 80333, 58513, 30845, 4326, 2028, 9378, 5924, 26, 4745, 6857, 29904, 23499, 5359, 5335, 23284, 56111, 80036, 85021, 80727, 2820	459	104	2353	1.8730936819172115	0.019653620486477785	0.009875573721402353	0.08088763214788575
UP_SEQ_FEATURE	splice variant	249	43.6077057793345	1.508129898310885E-4	56098, 146057, 23131, 65258, 27067, 79809, 80208, 56916, 51773, 55230, 219736, 55852, 145567, 55227, 25, 26, 7337, 1982, 92017, 23263, 8727, 63929, 4122, 31, 5218, 10724, 80724, 7204, 80727, 253738, 23637, 5250, 146556, 64072, 55210, 125488, 4641, 2975, 23014, 2977, 2976, 8239, 55660, 6477, 55108, 124930, 79831, 51280, 323, 324, 158747, 284697, 23002, 23001, 23284, 5335, 28231, 23385, 80304, 27291, 374986, 2820, 1837, 54676, 9079, 55275, 5910, 9201, 23178, 2678, 56105, 254065, 23230, 57282, 4077, 284161, 51133, 55608, 10659, 10231, 5927, 201163, 23161, 6198, 8450, 85439, 4163, 10051, 84557, 65981, 8618, 9099, 2232, 84455, 1499, 128387, 23352, 80333, 4326, 55626, 84461, 54901, 9732, 23348, 28964, 10989, 8602, 389840, 8803, 120892, 29117, 56111, 10787, 23049, 10452, 4308, 64943, 51005, 54510, 9927, 57679, 22878, 8930, 730094, 652991, 389072, 23077, 130507, 85015, 8396, 57569, 9441, 54629, 79699, 57020, 56850, 8394, 79154, 54919, 9743, 80036, 57169, 51433, 10144, 23061, 1612, 91010, 5144, 29979, 8945, 94005, 51108, 23198, 28996, 23327, 10111, 55069, 196528, 9429, 23098, 51400, 9378, 26057, 29966, 79034, 394, 26275, 80255, 55170, 1118, 10933, 23499, 91584, 11022, 81544, 1636, 7812, 84918, 58528, 85021, 64421, 2182, 5066, 781, 56252, 57724, 1939, 22930, 121665, 22933, 8575, 6262, 56965, 80146, 55284, 3631, 9690, 55718, 9692, 203238, 57732, 23210, 64786, 60684, 1136, 2713, 636, 9818, 9815, 56165, 57521, 57522, 10102, 11188, 7511, 26115, 3181, 54862, 142678, 5789, 151613, 11276, 27352, 79664, 57700, 1889, 1954, 64759, 60509, 79269, 79066, 727957, 27253, 1025, 6709, 26100, 51061, 9854, 9855, 80762, 10902, 8897, 195814, 26503, 25851, 9135, 8001, 4919, 84253	457	1094	2343	1.1669120206097312	0.2091782697328185	0.2091782697328185	0.251394582109854
UP_SEQ_FEATURE	topological domain:Cytoplasmic	76	13.309982486865149	2.0673517221548568E-4	5066, 781, 56098, 57633, 4308, 10893, 121665, 1047, 54510, 6262, 9927, 80146, 747, 2899, 2195, 2678, 56105, 8642, 80208, 90701, 2650, 57282, 80142, 284161, 4074, 1138, 1139, 9955, 1136, 64579, 5361, 9293, 78999, 5359, 4122, 92293, 80036, 9487, 2218, 80727, 5789, 6653, 64137, 8720, 1889, 64072, 1954, 56121, 1128, 27253, 94005, 84749, 23190, 2028, 80762, 9429, 2040, 9378, 338567, 1464, 51280, 55576, 6857, 8001, 91584, 201232, 23284, 81544, 1636, 56111, 4919, 23385, 84918, 2531, 2137, 2182	457	268	2343	1.4539011724746072	0.2750939246986588	0.14858583797229374	0.3444618132019239
UP_SEQ_FEATURE	topological domain:Extracellular	50	8.756567425569177	3.113925167192096E-4	781, 56098, 57633, 4308, 10893, 54510, 747, 2195, 2899, 2678, 56105, 8642, 80208, 57282, 284161, 1138, 1139, 1136, 5361, 9293, 78999, 5359, 92293, 80036, 80727, 6653, 5789, 64137, 1889, 64072, 1954, 56121, 1128, 27253, 2028, 80762, 9429, 9378, 1464, 55576, 8001, 91584, 201232, 23284, 81544, 56111, 1636, 4919, 84918, 23385	457	160	2343	1.6021608315098466	0.3840578367487093	0.14916245725708643	0.5184161412738364
GOTERM_BP_DIRECT	GO:0051056~regulation of small GTPase mediated signal transduction	12	2.1015761821366024	3.7506889843013025E-4	57569, 6655, 23263, 9743, 394, 7409, 5924, 84253, 10144, 7204, 57522, 80728	418	20	2164	3.1062200956937795	0.5277649871466243	0.5277649871466243	0.6429091729449055
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	107	18.739054290718038	6.862086164413336E-4	56098, 10818, 4308, 54510, 5536, 288, 747, 80208, 84079, 8396, 145567, 7409, 5361, 22983, 26, 8394, 5359, 8727, 23263, 80036, 5218, 123879, 1612, 80727, 1457, 91010, 64137, 64072, 2319, 29979, 1128, 4641, 2977, 58513, 23327, 3416, 6477, 196528, 9429, 338567, 9378, 29966, 124930, 324, 2776, 23002, 7431, 23499, 91584, 28231, 5335, 1636, 7812, 23385, 84918, 526, 85021, 781, 5066, 1938, 57534, 3782, 200734, 121665, 22933, 10397, 6262, 54769, 2899, 2195, 2194, 2678, 56105, 8642, 57282, 1138, 1139, 4651, 23210, 55915, 1136, 201163, 5924, 78999, 11188, 4163, 5789, 55761, 1889, 56121, 27253, 1499, 84364, 80333, 2028, 91608, 26503, 47, 9732, 55576, 6857, 171586, 8001, 120892, 56111, 7094, 4919	435	423	2251	1.3089698649493222	0.2473747751548202	0.2473747751548202	0.9576338699942122
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	23	4.028021015761821	6.942781940731684E-4	23637, 57569, 27352, 64786, 22930, 394, 2776, 9732, 28964, 9815, 57522, 5910, 9135, 9743, 125058, 84364, 120892, 23158, 84253, 84079, 10144, 23061, 80728	424	58	2177	2.0360686402081978	0.3552780937180291	0.3552780937180291	1.0277273671956189
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	34	5.954465849387041	7.023698405958301E-4	5066, 56098, 64072, 10893, 1954, 1047, 56121, 54510, 6262, 27253, 6709, 84455, 2195, 8642, 56105, 80333, 58513, 23158, 30845, 4326, 9378, 26, 55576, 4745, 6857, 29904, 23499, 5359, 5335, 23284, 56111, 23061, 85021, 2820	424	100	2177	1.7457075471698114	0.35856902653308964	0.1991061409481839	1.039646991472165
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	32	5.604203152364273	7.239634625032785E-4	10818, 6655, 22930, 8925, 8924, 5910, 6709, 57679, 57221, 84364, 9855, 84079, 57569, 201163, 394, 7409, 2776, 5924, 9732, 23161, 23348, 28964, 9815, 57522, 9135, 23263, 9743, 120892, 84253, 10144, 7204, 80728	418	93	2164	1.7813448577455366	0.7650661517332737	0.5153002493638703	1.2374560051052086
